epoch,accuracy,loss,val_accuracy,val_loss
0,0.7413675785064697,0.02348889783024788,0.8433566689491272,0.018445633351802826
1,0.8144025206565857,0.014444052241742611,0.8581196665763855,0.017372868955135345
2,0.8438209891319275,0.010848917067050934,0.8528360724449158,0.02095636911690235
3,0.8639255166053772,0.008836662396788597,0.8736596703529358,0.014568030834197998
4,0.8881190419197083,0.006861458066850901,0.9011654853820801,0.010368917137384415
5,0.894820511341095,0.0057306913658976555,0.9134421348571777,0.008347570896148682
6,0.9045888185501099,0.0049508679658174515,0.9277389049530029,0.006885673385113478
7,0.9053839445114136,0.004655849654227495,0.931313157081604,0.0058894772082567215
8,0.91810542345047,0.004021589644253254,0.9390831589698792,0.005111618433147669
9,0.9177646636962891,0.003782930551096797,0.9448329210281372,0.004509492311626673
