epoch,accuracy,loss,val_accuracy,val_loss
0,0.8003027439117432,0.02505994588136673,0.8636953830718994,0.01173052005469799
1,0.852416455745697,0.014512184076011181,0.8922544121742249,0.007753825280815363
2,0.8783652186393738,0.010452670976519585,0.9091302752494812,0.005749160423874855
3,0.8837712407112122,0.009140892885625362,0.9151882529258728,0.004629122093319893
4,0.9006379246711731,0.007398161571472883,0.9208135008811951,0.004133555572479963
5,0.9036652445793152,0.006942027248442173,0.9242752194404602,0.003882419317960739
6,0.9092875123023987,0.0062186094000935555,0.9299004673957825,0.0032709722872823477
7,0.9083144068717957,0.006199966184794903,0.9299004673957825,0.0033748424611985683
8,0.9126392006874084,0.0056140548549592495,0.9337949156761169,0.0029111215844750404
9,0.9180452227592468,0.005051572807133198,0.9407182931900024,0.0027345470152795315
10,0.9178289771080017,0.00500921905040741,0.938122034072876,0.002926260931417346
11,0.9236674308776855,0.00439894013106823,0.938122034072876,0.002675653900951147
12,0.9218294024467468,0.0043668136931955814,0.9420164227485657,0.002674282994121313
13,0.9248567223548889,0.004175284877419472,0.9485071301460266,0.0021728510037064552
14,0.9247485995292664,0.0042272587306797504,0.9454781413078308,0.002341803628951311
15,0.9300464987754822,0.0037343522999435663,0.9385547637939453,0.002390108536928892
16,0.9286409616470337,0.003687470918521285,0.9515361189842224,0.0019891061820089817
17,0.9228024482727051,0.004482828546315432,0.9545651078224182,0.0018261759541928768
18,0.9326413869857788,0.0034604992251843214,0.953266978263855,0.0017988949548453093
19,0.9377229809761047,0.003166343318298459,0.9545651078224182,0.0018564852653071284
