epoch,accuracy,loss,val_accuracy,val_loss
0,0.7278555035591125,0.026324013248085976,0.7560217380523682,0.024900980293750763
1,0.7702020406723022,0.019769053906202316,0.7746697664260864,0.025702863931655884
2,0.8038073182106018,0.015395378693938255,0.7816627621650696,0.022620057687163353
3,0.8327505588531494,0.012074762023985386,0.7871018052101135,0.02156517282128334
4,0.8457653522491455,0.010475014336407185,0.7987567782402039,0.019732465967535973
5,0.8616938591003418,0.009089754894375801,0.8135198354721069,0.018177371472120285
6,0.8698523640632629,0.007809320464730263,0.8189588189125061,0.01635570079088211
7,0.8778166174888611,0.007261543534696102,0.808857798576355,0.017199400812387466
8,0.8877233862876892,0.006393984891474247,0.806526780128479,0.018088195472955704
9,0.8892773985862732,0.006213958375155926,0.810411810874939,0.01964668743312359
